Country,Year,Expenditure_Total,Revenue_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Netherlands,2011,313.416,284.421,12.184,482.495,8.331000000000017,2.736938106651631,-28.995000000000005,-16.811000000000007
Netherlands,2012,313.598,288.342,11.454,521.193,13.44199999999995,2.3739106104726475,-25.25600000000003,-13.802000000000028
Netherlands,2013,316.425,297.383,11.176,523.389,-16.846000000000004,2.14431122444085,-19.04200000000003,-7.86600000000003
Netherlands,2014,317.186,301.973,10.309,563.083,24.480999999999995,1.9696630995301772,-15.212999999999965,-4.903999999999966
Netherlands,2015,316.389,303.955,9.371,552.422,-23.09499999999997,1.6642306729203336,-12.434000000000026,-3.0630000000000255
Netherlands,2016,316.279,317.914,8.556,551.4890000000009,0.7020000000009077,1.5488159414360758,1.634999999999991,10.19099999999999
Netherlands,2017,321.059,330.943,7.654,525.330000000001,-16.275000000000034,1.387878996679895,9.883999999999958,17.537999999999958
Netherlands,2018,334.143,345.746,7.13,513.872000000001,0.14500000000003865,1.3572421144804194,11.603000000000009,18.733000000000008
Netherlands,2019,349.318,364.103,6.446,509.72100000000097,10.634000000000015,1.2543979823769318,14.785000000000025,21.231000000000023
Netherlands,2020,390.377,360.92,5.659,562.818000000001,23.640000000000043,1.1102151961563267,-29.456999999999994,-23.797999999999995
Netherlands,2021,409.171,389.572,4.841,574.348000000002,-8.068999999998994,0.8601359586935727,-19.59899999999999,-14.757999999999988
Netherlands,2022,429.746,429.861,5.65,523.817000000001,-50.41600000000096,0.9837241533007829,0.1150000000000091,5.7650000000000095
Netherlands,2023,461.217,457.397,7.309,531.582,3.94499999999897,1.3953346302239114,-3.819999999999993,3.489000000000007
Netherlands,2024,490.849526878971,476.215477891521,8.89195385500745,563.440884379008,17.22483539155803,1.6727341887060605,-14.63404898745,-5.74209513244255
