Country,Year,CBR,CDR,NetMigrations,CNMR,TPopulation1July,TFR,NetMigrations_smooth,D_UN,D_Y_UN,D_R_UN,D_UN_alt,D_Y_UN_alt,D_R_UN_alt,N_Y,N_M1,N_M2,N_R,FAT_Y,FAT_M1,FAT_M2,FAT_R,mu_Y,mu_M1,mu_M2,mu_R,MY,nu_t,N,p_y,p_m1,p_m2
Italy,1996,9.253,9.67,53.45,0.935,57162.092,1.1972,53.45,60.178,32.9,27.278,47.425,30.281,17.144,11740.9165,21404.093000000004,14282.582499999999,9734.499499999998,6.549,23.98599999999999,74.96100000000001,447.26,5.468563131070955e-4,0.0011213547438878309,0.005259089119113623,0.04571428337806537,0.667282771570839,0.009253,57162.091499999995,0.06341254767659736,0.036230620090823444,0.047078998547349926
Italy,1997,9.329,9.78,50.539,0.884,57189.274,1.2098,50.539,60.19,32.381,27.809,47.378,29.791,17.586,11560.370000000003,21397.937999999995,14302.989000000005,9927.9775,5.981,21.71300000000008,73.60699999999997,457.996,5.09415086973832e-4,0.0010144321462254942,0.005153619802301158,0.04704874657397641,0.6684283784727298,0.009329,57189.27450000001,0.06028751261483695,0.034704187260049174,0.045425829089627286
Italy,1998,9.29,10.005,67.985,1.188,57215.194,1.2099,53.45,60.282,32.007,28.275,47.444,29.443,18.001,11425.3805,21364.813499999997,14331.730999999998,10093.269500000004,5.632,20.973999999999933,73.07300000000009,472.75,4.871816386499739e-4,9.801879040868301e-4,0.005108932126005276,0.04761795642667401,0.6708100213465472,0.00929,57215.1945,0.05714746674241424,0.03461928715304269,0.044673624520371956
Italy,1999,9.363,9.892,54.405,0.95,57240.798,1.2279,54.405,60.526,31.758,28.768,47.654,29.211,18.443,11324.3095,21298.535499999998,14359.778999999997,10258.1745,5.25,19.87749999999994,70.55250000000007,470.556,4.595032961921925e-4,9.303849060044425e-4,0.0049228177670931775,0.046620770405466715,0.6742143843645962,0.009363,57240.7985,0.05527403363971123,0.03427749865934937,0.044218794373373366
Italy,2000,9.442,9.746,56.065,0.979,57272.196,1.2491,56.065,60.866,31.561,29.305,47.949,29.027,18.922,11236.5555,21200.941500000004,14401.556999999999,10433.1425,4.906,19.470500000000015,68.43549999999999,465.382,4.3322729743477956e-4,9.141708358304738e-4,0.004765776687788858,0.04536694126230745,0.6792885589538556,0.009442,57272.196500000005,0.055042262792004984,0.03556601905501867,0.045076642157026926
Italy,2001,9.328,9.684,48.903,0.853,57305.76,1.247,48.903,61.174,31.336,29.838,48.249,28.823,19.426,11141.58,21084.153000000002,14471.148500000001,10608.879,4.856,19.001499999999965,67.15549999999996,463.951,4.321609055372885e-4,8.962573666834541e-4,0.0046630721942078875,0.04446896033481763,0.6863519013545386,0.009328,57305.760500000004,0.05556458551306049,0.036368410759116634,0.044043678676687494
Italy,2002,9.332,9.725,223.861,3.899,57420.628,1.2643,223.861,61.482,31.126,30.357,48.531,28.629,19.902,11067.7685,21004.5545,14553.921500000002,10794.383,4.713,18.398500000000126,65.54449999999991,469.771,4.2301002191789673e-4,8.726222011384629e-4,0.004529322603523826,0.044280927325120775,0.6928936055273157,0.009332,57420.6275,0.05420019934210409,0.04216137385201128,0.05117903095155193
Italy,2003,9.354,10.076,478.578,8.289,57739.699,1.2853,478.578,61.785,30.961,30.824,48.677,28.452,20.225,11049.571999999996,21031.935999999998,14657.297000000002,11000.894000000002,4.05,16.952999999999975,65.39499999999998,495.37,3.659274224971366e-4,8.071106673555003e-4,0.004493290691446973,0.04589146040121052,0.696906694657116,0.009354,57739.69899999999,0.04980760571880447,0.04691851710708755,0.05611766214590356
Italy,2004,9.62,9.289,417.97,7.184,58176.738,1.3368,417.97,62.25,30.888,31.362,48.881,28.343,20.537,11075.359,21078.9535,14777.319999999996,11245.104999999998,4.038,16.166500000000042,61.698500000000024,458.527,3.654440190081572e-4,7.68664377829984e-4,0.004209405049239298,0.04168088520805672,0.701046188085191,0.00962,58176.73749999999,0.04757025017620554,0.041860953950221026,0.0476687757899701
Italy,2005,9.461,9.631,258.702,4.421,58519.693,1.3325,258.702,63.008,31.001,32.007,49.349,28.403,20.946,11129.299500000001,20978.150500000003,14921.7635,11490.4795,3.804,15.824500000000057,60.74249999999995,483.254,3.434651644249184e-4,7.507251249451287e-4,0.00411052207030774,0.04297460984134876,0.7113002406956703,0.009461,58519.69300000001,0.044483037839902005,0.03967683279378628,0.042711405957744225
Italy,2006,9.516,9.434,215.995,3.676,58754.433,1.3643,215.995,63.876,31.206,32.67,49.925,28.55,21.375,11188.363,20771.354,15081.67,11713.046000000004,3.718,15.400499999999965,59.68350000000004,475.512,3.3407313730751876e-4,7.341209607586695e-4,0.003999761824398305,0.04138312939855991,0.7260802545659758,0.009516,58754.433,0.04439559727797797,0.04297246788214265,0.045697876031073996
Italy,2007,9.49,9.613,495.092,8.376,59108.72,1.3926,495.092,64.471,31.374,33.098,50.452,28.7,21.753,11275.326,20622.9725,15315.6085,11894.812999999996,3.736,14.967999999999961,59.016999999999996,490.478,3.339183757266367e-4,7.20607814011545e-4,0.003913160810440753,0.04187450471892622,0.7426479621208825,0.00949,59108.719999999994,0.0417291224078089,0.05273541961539913,0.0532056840635022
