Country,Year,Revenue_Total,Expenditure_Interest,Total_Debt,Expenditure_Total,SFA,IR,Surplus,Primary_Surplus
Spain,2002,287.171,19.712,446.589,289.527,17.223000000000013,4.616285332896186,-2.3559999999999945,17.356000000000005
Spain,2003,304.787,18.459,440.817,307.796,-8.781000000000006,4.133330646298946,-3.0090000000000146,15.449999999999985
Spain,2004,332.725,17.104,456.06,333.666,14.302000000000021,3.8800681461921838,-0.9409999999999741,16.163000000000025
Spain,2005,368.206,16.201,468.129,356.785,23.49000000000001,3.5523834583168887,11.420999999999992,27.621999999999993
Spain,2006,407.079,16.168,462.718,385.757,15.911000000000001,3.4537488598228263,21.322000000000003,37.49
Spain,2007,442.451,17.009,455.521,422.164,13.090000000000032,3.675888986380474,20.287000000000035,37.296000000000035
Spain,2008,409.082,17.542,529.082,459.813,22.829999999999984,3.850975037374786,-50.730999999999995,-33.18899999999999
Spain,2009,373.777,18.355,672.247,494.353,22.589,3.4692164919615487,-120.57600000000002,-102.22100000000002
Spain,2010,391.624,20.437,725.007,493.817,-49.43299999999999,3.040102819350626,-102.19299999999998,-81.75599999999999
Spain,2011,387.333,26.562,835.595,490.908,7.0130000000000905,3.6636887643843443,-103.57499999999999,-77.01299999999999
Spain,2012,390.842,31.353,1001.775,509.936,47.085999999999956,3.7521765927273383,-119.094,-87.74099999999999
Spain,2013,396.593,36.553,1135.99,473.398,57.40999999999997,3.648823338574031,-76.805,-40.25200000000001
Spain,2014,405.125,36.706,1281.56,467.841,82.85399999999993,3.2311904154085864,-62.71600000000001,-26.010000000000005
Spain,2015,417.645,33.368,1307.839,474.893,-30.968999999999994,2.603701738506196,-57.24799999999999,-23.87999999999999
Spain,2016,425.316,31.226,1349.65,472.717,-5.589999999999861,2.387602755385028,-47.40100000000001,-16.17500000000001
Spain,2017,444.005,29.613,1386.224,479.908,0.6709999999998217,2.194124402622902,-35.90300000000002,-6.2900000000000205
Spain,2018,472.25,29.593,1415.993,503.193,-1.1739999999999782,2.1347920682371684,-30.942999999999984,-1.3499999999999837
Spain,2019,488.347,28.231,1501.255,526.769,46.840000000000146,1.9937245452484584,-38.422000000000025,-10.191000000000024
Spain,2020,468.267,25.127,1656.401,580.164,43.249000000000024,1.6737329767427915,-111.89699999999999,-86.77
Spain,2021,528.95,26.17,1721.023,611.124,-17.552000000000135,1.5799314296477727,-82.17399999999998,-56.00399999999998
Spain,2022,574.012,31.775,1561.739,637.117,-222.3889999999999,1.8462856103608145,-63.10500000000002,-31.33000000000002
Spain,2023,628.283,35.707,1663.988,680.952,49.58000000000004,2.2863615495290825,-52.66899999999998,-16.961999999999982
Spain,2024,665.5956330014151,40.427053262395894,1739.03945369638,713.199269696654,27.447817001140947,2.4295279330377317,-47.60363669523895,-7.176583432843053
Netherlands,1961,NA,NA,17.8102306075045,NA,NA,NA,NA,NA
Netherlands,1962,NA,NA,18.9037108246244,NA,NA,NA,NA,NA
Netherlands,1963,NA,NA,20.055525237427503,NA,NA,NA,NA,NA
Netherlands,1964,NA,NA,22.1303925113349,NA,NA,NA,NA,NA
Netherlands,1965,NA,NA,24.5609839981339,NA,NA,NA,NA,NA
Netherlands,1966,NA,NA,27.188310419393797,NA,NA,NA,NA,NA
Netherlands,1967,NA,NA,30.039823161318502,NA,NA,NA,NA,NA
Netherlands,1968,NA,NA,33.4254941264596,NA,NA,NA,NA,NA
